layers,lr,dropout,cv_rmse,cv_std
"[128, 64]",0.001,0.1,50941.86888806974,1107.9925649777713
"[128, 64, 32]",0.0005,0.1,50949.591382719016,1130.4096310474642
"[128, 64]",0.0005,0.2,51155.94759899354,961.2942225773849
"[128, 64, 32]",0.001,0.2,51652.630381089424,1486.5562152926263
"[64, 32]",0.001,0.1,51668.32888293385,1028.9067555668591
"[64, 32]",0.001,0.2,52020.55210669016,1375.1678134446447
